18 39 0 0     1375     -30
18 40 0 0     1418     -36
18 41 0 0     1353     -41
18 42 0 0     1230     -39
18 43 0 0     1168     -34
18 44 0 0      992     -32
18 45 0 0      858     -31
20 20 0 0     1010     -32
20 23 0 0      978     -34
20 25 0 0      864     -33
20 26 0 0      941     -34
20 27 0 0      949     -31
20 28 0 0      965     -30
20 40 0 0      807     -32
20 41 0 0      835     -30
20 42 0 0      845     -43
20 43 0 0      927     -37
20 44 0 0      802     -39
20 45 0 0      828     -34
20 46 0 0     1055     -41
20 47 0 0      850     -43
20 48 0 0      739     -36
20 49 0 0      752     -37
20 50 0 0      784     -39
20 51 0 0      694     -45
20 52 0 0      675     -43
20 53 0 0      806     -37
20 54 0 0      699     -50
20 55 0 0      802     -66
20 56 0 0      522     -56
20 57 0 0      911     -51
20 58 0 0      766     -42
20 59 0 0      730     -60
21  0 0 0      891     -52
21  1 0 0      924     -40
21  2 0 0      907     -63
21  3 0 0      674     -53
21  4 0 0      910     -67
21  5 0 0      734     -54
21  6 0 0      878     -67
21  7 0 0      747     -70
21  8 0 0      858     -70
21  9 0 0      653     -78
21 10 0 0      765     -76
21 11 0 0      831     -72
21 12 0 0      844     -76
21 13 0 0      459     -74
21 14 0 0      953     -75
21 15 0 0      677     -92
21 16 0 0      508     -86
21 17 0 0      403     -83
21 18 0 0      818     -79
21 19 0 0      380     -75
21 20 0 0      355     -79
21 21 0 0      672     -83
21 22 0 0      538     -82
21 23 0 0      779     -84
21 24 0 0      408     -79
21 25 0 0      326     -79
21 26 0 0      968     -74
21 27 0 0      560     -74
21 28 0 0      434     -71
21 29 0 0      510     -65
21 30 0 0      956     -73
21 31 0 0      894     -71
21 32 0 0      371     -64
21 33 0 0      819     -68
21 34 0 0      330     -73
21 35 0 0      349     -68
21 36 0 0      537     -72
21 37 0 0      709     -78
21 38 0 0      339     -77
21 39 0 0      469     -74
21 40 0 0      512     -76
21 41 0 0      425     -75
21 42 0 0      430     -74
21 43 0 0      437     -79
21 44 0 0      367     -91
21 45 0 0      520     -90
21 46 0 0      541     -87
21 47 0 0      364     -91
21 48 0 0      391     -85
21 49 0 0      433     -82
21 50 0 0      433     -83
21 51 0 0      496     -82
21 52 0 0      567     -77
21 53 0 0      511     -80
21 54 0 0      583     -80
21 55 0 0      701     -85
21 56 0 0      546     -85
21 57 0 0      405     -79
21 58 0 0      413     -76
21 59 0 0      295     -75
22  0 0 0      373     -73
